real_sale_price,predicted_sale_price
14195,55783.44
33687,55402.87
55935,58177.35
45098,54537.676
43610,54859.992
15536,54007.758
27415,54297.28
40525,58015.895
25649,56056.445
21992,55481.355
27078,57158.4
33003,57999.746
15746,56579.38
25765,56346.652
30967,59173.777
23115,57421.176
21034,56848.72
24560,58274.047
26452,58551.97
11718,57344.88
24314,57046.84
25050,60279.824
21308,57603.1
19641,57984.613
27538,58379.715
32660,58573.59
14043,56474.582
24165,56635.785
30147,59276.42
16559,57262.516
20689,57088.94
